issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
175,NH.gov,https://nh.gov/,https://www.nh.gov/,403,false,true,6873,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/government,https://www.nh.gov/government,403,false,true,5382,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/government/state-government-agencies,https://www.nh.gov/government/state-government-agencies,403,false,true,5372,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://das.nh.gov/,https://www.das.nh.gov/,403,false,true,5452,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/search,https://www.nh.gov/search,403,false,true,5458,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/search/advanced,https://www.nh.gov/search/advanced,403,false,true,5643,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/contact-us,https://www.nh.gov/contact-us,403,false,true,5336,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/contact-us/feedback,https://www.nh.gov/contact-us/feedback,403,false,true,5388,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services,https://www.nh.gov/online-services,403,false,true,5357,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/help-center,https://www.nh.gov/help-center,403,false,true,5336,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
